# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Feb 09 16:31:59 GMT 2025 [seed=1739118718494]
# table.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
135000	-800.0014887761987	-50.78073031662116	-749.2207584595775	0.6562972201975888	4.655180810026223	0.8398580534980482	1.0	1.0	-749.2207584595775	0.0	-50.95525270199617
136000	-790.7302283888155	-52.383480876531344	-738.3467475122841	0.38860847952645583	4.1666417488377	0.7788394864956582	1.0	1.0	-738.3467475122841	0.0	-52.63343118160565
137000	-788.3816937644889	-50.49658052713138	-737.8851132373575	0.2614601846429988	3.761598173798224	0.8133593483902682	1.0	1.0	-737.8851132373575	0.0	-50.70316279130012
138000	-791.7168132993302	-52.035748233488434	-739.6810650658417	0.31779396928755477	4.0161118222472085	0.8463619511878449	1.0	1.0	-739.6810650658417	0.0	-52.20255640609749
139000	-779.8656557421502	-43.07420150050561	-736.7914542416446	0.30748536671807436	3.763724330009068	0.701685409231511	1.0	1.0	-736.7914542416446	0.0	-43.42847161092223
140000	-765.8678863963387	-41.206094927616626	-724.6617914687221	0.30929674275039004	3.546961220962816	0.6365803063266151	1.0	1.0	-724.6617914687221	0.0	-41.65773962795986
141000	-760.5579428142596	-26.706339491425553	-733.8516033228341	0.21645181301862365	2.7911617606909442	0.5705775206316819	1.0	1.0	-733.8516033228341	0.0	-27.267445728443068
142000	-771.8837614751737	-37.77745571458917	-734.1063057605845	0.28100159120300827	3.437113828866288	0.5912421089128996	1.0	1.0	-734.1063057605845	0.0	-38.30298540032171
143000	-786.5416143304193	-49.139516941674586	-737.4020973887447	0.34922206650156007	3.976772167149584	0.8796961463969653	1.0	1.0	-737.4020973887447	0.0	-49.26769566101538
144000	-788.1887465702296	-55.31870787538565	-732.870038694844	0.38287405644748007	4.257322645365223	0.7148991044502091	1.0	1.0	-732.870038694844	0.0	-55.654321734308105
145000	-790.1930204289209	-56.85263912656332	-733.3403813023576	0.3651403722942135	4.151399369071828	0.7682019155635769	1.0	1.0	-733.3403813023576	0.0	-57.11634179608267
146000	-767.0626667990535	-39.03845123676259	-728.0242155622909	0.3174110309435664	3.3636463503123926	0.6815868896956935	1.0	1.0	-728.0242155622909	0.0	-39.42178277503595
147000	-772.6460578828029	-43.29431242803842	-729.3517454547645	0.24738485729797793	3.3655392884990913	0.6936712418997529	1.0	1.0	-729.3517454547645	0.0	-43.660069573613875
148000	-783.6369213410628	-42.513476783229784	-741.1234445578331	0.24372891738370533	3.4042983109356584	0.6592079028947317	1.0	1.0	-741.1234445578331	0.0	-42.93019309509389
149000	-777.5635598688921	-41.93695428082839	-735.6266055880637	0.31750392446698067	3.635218106660163	0.6567271495000933	1.0	1.0	-735.6266055880637	0.0	-42.35744092517033
150000	-774.935853437401	-49.8712957585139	-725.064557678887	0.2885156330610186	3.8135397739118853	0.6635636024045046	1.0	1.0	-725.064557678887	0.0	-50.28142632940119
151000	-773.0913011930542	-40.196422711232735	-732.8948784818215	0.2582363443042301	3.562191865128165	0.6379846677035029	1.0	1.0	-732.8948784818215	0.0	-40.645863738991494
152000	-787.500958106098	-50.93975691398465	-736.5612011921133	0.2820670074383642	3.9244893364821634	0.8038477876172676	1.0	1.0	-736.5612011921133	0.0	-51.158102260614854
